id_review,id_sentence,gold1,gold2,gold3,A_label1,A_label2,A_label3,B_label1,B_label2,B_label3,C_label1,C_label2,C_label3
14,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
14,2,録音の背景,楽曲,,録音の背景,楽曲,,録音の背景,,,録音の背景,楽曲,
14,3,楽曲,録音の背景,,楽曲,,,楽曲,録音の背景,,楽曲,,
14,4,演奏：スタイル・理解,演奏：キャラクター・音色,,演奏：感情,,,演奏：スタイル・理解,演奏：キャラクター・音色,,楽曲,,
14,5,演奏：構造,評価：その他,,演奏：エネルギー,演奏：構造,評価：その他,演奏：スタイル・理解,評価：感じられ方,,楽曲,,
14,6,演奏：キャラクター・音色,,,演奏：キャラクター・音色,,,演奏：キャラクター・音色,,,楽曲,,
14,7,演奏：スタイル・理解,演奏：構造,評価：その他,演奏：キャラクター・音色,演奏：構造,評価：その他,演奏：スタイル・理解,評価：その他,,演奏：その他,演奏：構造,評価：その他
22,1,演奏者,録音の背景,,演奏者,,,録音の背景,,,演奏者,,
22,2,録音の背景,楽曲,,楽曲,,,録音の背景,楽曲,,楽曲,,
22,3,楽器,,,楽器,,,楽器,,,楽器,,
22,4,演奏：キャラクター・音色,評価：感じられ方,,演奏：技術,評価：感じられ方,,演奏：キャラクター・音色,評価：感じられ方,,演奏：キャラクター・音色,演奏：コミュニケーション,
22,5,演奏：キャラクター・音色,演奏：感情,,演奏：感情,,,演奏：キャラクター・音色,演奏：感情,,演奏：感情,,
41,1,楽器,演奏：エネルギー,演奏：キャラクター・音色,楽器,,,演奏：エネルギー,演奏：キャラクター・音色,,評価：その他,,
41,2,評価：その他,録音の背景,,録音の背景,,,録音の背景,,,評価：その他,録音の背景,
41,3,演奏者,,,演奏者,,,演奏者,,,演奏者,,
41,4,楽曲,,,楽曲,,,楽曲,,,楽曲,,
41,5,楽曲,評価：その他,,評価：その他,,,評価：その他,,,楽曲,演奏：キャラクター・音色,
56,1,評価：感じられ方,,,評価：その他,,,評価：感じられ方,,,評価：その他,,
56,2,演奏者,,,演奏者,楽器,,演奏者,,,演奏者,楽曲,
56,3,楽曲,,,楽曲,,,楽曲,,,楽曲,,
56,4,演奏：技術,楽曲,評価：感じられ方,演奏：技術,評価：感じられ方,,演奏：技術,評価：感じられ方,,演奏：技術,演奏：スタイル・理解,評価：感じられ方
65,1,楽曲,録音の背景,,楽曲,録音の背景,,楽曲,録音の背景,,楽曲,録音の背景,
65,2,楽曲,,,楽曲,,,楽曲,,,楽曲,,
65,3,楽曲,,,楽曲,,,楽曲,,,楽曲,,
65,4,楽曲,,,楽曲,,,楽曲,,,楽曲,,
65,5,演奏：スタイル・理解,評価：感じられ方,,演奏：スタイル・理解,評価：感じられ方,,演奏：スタイル・理解,評価：感じられ方,,演奏：スタイル・理解,評価：対比,
79,1,録音の背景,楽曲,,楽曲,,,録音の背景,楽曲,,演奏：スタイル・理解,楽曲,
79,2,楽曲,,,演奏：スタイル・理解,演奏：キャラクター・音色,演奏：構造,その他,,,楽曲,,
79,3,評価：その他,,,演奏者,,,演奏：技術,評価：その他,,演奏：キャラクター・音色,演奏：構造,演奏：技術
79,4,演奏：キャラクター・音色,録音の背景,評価：感じられ方,演奏：キャラクター・音色,楽曲,評価：感じられ方,演奏：キャラクター・音色,評価：その他,,演奏：キャラクター・音色,楽曲,評価：感じられ方
87,1,演奏者,楽曲,,演奏者,楽曲,,録音の背景,,,演奏者,楽曲,
87,2,演奏：技術,演奏：キャラクター・音色,評価：その他,演奏：技術,演奏：キャラクター・音色,,演奏：技術,演奏：キャラクター・音色,評価：その他,演奏：技術,演奏：キャラクター・音色,
87,3,演奏：キャラクター・音色,演奏：アーティキュレーション,評価：その他,演奏：キャラクター・音色,評価：その他,,演奏：キャラクター・音色,演奏：アーティキュレーション,,演奏：キャラクター・音色,演奏：技術,評価：その他
87,4,演奏：キャラクター・音色,演奏：スタイル・理解,評価：感じられ方,演奏：スタイル・理解,評価：感じられ方,,演奏：キャラクター・音色,演奏：構造,評価：感じられ方,演奏：キャラクター・音色,評価：感じられ方,
99,1,演奏者,演奏：スタイル・理解,,演奏者,,,演奏者,演奏：スタイル・理解,評価：感じられ方,演奏者,演奏：スタイル・理解,
99,2,楽曲,,,楽曲,,,楽曲,,,楽曲,,
99,3,演奏：スタイル・理解,演奏：エネルギー,演奏：時間的特徴,演奏：スタイル・理解,演奏：時間的特徴,,演奏：スタイル・理解,演奏：エネルギー,演奏：時間的特徴,演奏：スタイル・理解,演奏：キャラクター・音色,演奏：時間的特徴
128,1,録音の背景,演奏者,,録音の背景,演奏者,,録音の背景,演奏者,,録音の背景,演奏者,
128,2,楽曲,演奏：キャラクター・音色,,楽曲,演奏：キャラクター・音色,,楽曲,演奏：キャラクター・音色,,楽曲,演奏：構造,演奏：キャラクター・音色
128,3,楽曲,,,楽曲,,,楽曲,,,楽曲,,
128,4,楽曲,評価：感じられ方,,楽曲,,,楽曲,評価：感じられ方,,楽曲,評価：その他,
134,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
134,2,録音の背景,,,演奏者,,,録音の背景,,,演奏者,,
134,3,演奏：スタイル・理解,,,演奏：スタイル・理解,,,演奏：スタイル・理解,,,演奏：スタイル・理解,演奏：コミュニケーション,
134,4,楽曲,,,楽曲,,,楽曲,評価：真正性,,楽曲,評価：その他,
134,5,演奏：キャラクター・音色,評価：その他,,演奏：スタイル・理解,評価：その他,,演奏：キャラクター・音色,評価：感じられ方,,演奏：スタイル・理解,評価：その他,
143,1,楽曲,演奏：コミュニケーション,演奏：スタイル・理解,楽曲,,,演奏：スタイル・理解,演奏：技術,,楽曲,演奏：コミュニケーション,演奏：スタイル・理解
143,2,演奏：技術,演奏：キャラクター・音色,,演奏：技術,演奏：キャラクター・音色,,演奏：技術,演奏：スタイル・理解,,演奏：技術,演奏：キャラクター・音色,
143,3,評価：感じられ方,,,楽曲,,,評価：感じられ方,,,楽曲,,
143,4,演奏：構造,評価：感じられ方,,演奏：構造,評価：感じられ方,,演奏：構造,評価：感じられ方,,演奏：構造,評価：感じられ方,
143,5,評価：感じられ方,,,演奏：アーティキュレーション,評価：感じられ方,,評価：感じられ方,,,評価：感じられ方,,
160,1,演奏：技術,演奏者,,演奏者,,,演奏：技術,演奏者,,演奏：技術,演奏：スタイル・理解,
160,2,演奏者,録音の背景,,演奏者,,,演奏者,録音の背景,,演奏者,,
160,3,録音の背景,,,その他,,,録音の背景,,,評価：その他,,
160,4,演奏：キャラクター・音色,演奏：構造,,演奏：キャラクター・音色,演奏：構造,,演奏：構造,,,演奏：スタイル・理解,,
160,5,演奏：スタイル・理解,,,演奏：スタイル・理解,,,演奏：スタイル・理解,,,評価：その他,演奏：感情,
170,1,演奏者,録音の背景,,演奏者,録音の背景,,演奏者,録音の背景,,演奏者,録音の背景,
170,2,演奏：エネルギー,演奏：構造,演奏：技術,楽曲,演奏：構造,演奏：スタイル・理解,演奏：エネルギー,演奏：時間的特徴,演奏：コミュニケーション,演奏：時間的特徴,演奏：技術,演奏：コミュニケーション
170,3,評価：感じられ方,評価：その他,,評価：感じられ方,評価：その他,,演奏：スタイル・理解,評価：感じられ方,,評価：感じられ方,評価：その他,
176,1,録音の背景,,,演奏者,録音の背景,,録音の背景,,,演奏者,録音の背景,
176,2,楽曲,,,楽曲,,,録音の背景,,,楽曲,,
176,3,楽曲,演奏：キャラクター・音色,演奏：感情,楽曲,演奏：キャラクター・音色,,演奏：スタイル・理解,,,楽曲,演奏：キャラクター・音色,演奏：感情
176,4,演奏：スタイル・理解,評価：その他,,評価：感じられ方,,,演奏：スタイル・理解,評価：その他,,演奏：スタイル・理解,評価：その他,
187,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
187,2,演奏者,録音の背景,,録音の背景,,,演奏者,録音の背景,,演奏者,録音の背景,
187,3,楽曲,評価：その他,,楽曲,,,評価：その他,,,楽曲,演奏：スタイル・理解,評価：感じられ方
187,4,演奏者,演奏：キャラクター・音色,評価：感じられ方,演奏者,演奏：キャラクター・音色,評価：感じられ方,演奏：キャラクター・音色,評価：感じられ方,演奏：スタイル・理解,演奏：キャラクター・音色,評価：感じられ方,
187,5,演奏：構造,評価：その他,,評価：その他,,,演奏：構造,評価：その他,,評価：その他,,
215,1,録音の背景,,,その他,,,録音の背景,,,その他,,
215,2,演奏者,録音の背景,,演奏者,録音の背景,,演奏者,録音の背景,,演奏者,録音の背景,
215,3,演奏者,演奏：エネルギー,,演奏者,評価：その他,,演奏者,評価：感じられ方,,演奏者,演奏：エネルギー,
215,4,演奏者,評価：その他,,演奏者,評価：その他,,演奏者,評価：その他,,演奏者,評価：その他,
215,5,評価：その他,,,評価：感じられ方,,,演奏：その他,,,評価：その他,,
238,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
238,2,演奏：キャラクター・音色,演奏：時間的特徴,評価：その他,演奏：キャラクター・音色,演奏：時間的特徴,,演奏者,,,演奏：キャラクター・音色,演奏：時間的特徴,評価：その他
238,3,楽曲,,,楽曲,,,楽曲,,,楽曲,,
238,4,楽曲,,,楽曲,,,楽曲,,,楽曲,,
238,5,楽曲,,,楽曲,,,楽曲,,,楽曲,,
238,6,楽曲,,,楽曲,,,楽曲,,,楽曲,,
252,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
252,2,演奏者,,,演奏者,,,演奏者,,,演奏者,,
252,3,録音の背景,,,録音の背景,,,録音の背景,,,録音の背景,,
252,4,楽曲,,,楽曲,,,録音の背景,,,楽曲,評価：その他,
252,5,演奏：キャラクター・音色,,,演奏者,評価：その他,,演奏：キャラクター・音色,,,演奏：キャラクター・音色,評価：その他,
252,6,評価：その他,,,演奏：その他,,,演奏：キャラクター・音色,評価：感じられ方,,評価：その他,,
252,7,録音の背景,楽曲,演奏：キャラクター・音色,楽曲,評価：その他,,録音の背景,演奏：キャラクター・音色,,楽曲,演奏：キャラクター・音色,
268,1,演奏者,録音の背景,,演奏者,録音の背景,,演奏者,録音の背景,,演奏者,,
268,2,録音の背景,,,録音の背景,,,録音の背景,,,録音の背景,,
268,3,録音の背景,,,その他,,,録音の背景,,,演奏者,,
268,4,楽曲,,,楽曲,,,楽曲,,,楽曲,,
268,5,演奏：スタイル・理解,演奏：エネルギー,,演奏：スタイル・理解,演奏：エネルギー,,演奏：スタイル・理解,演奏：エネルギー,,演奏：キャラクター・音色,演奏：エネルギー,
268,6,楽曲,,,楽曲,,,楽曲,,,楽曲,評価：その他,
281,1,演奏：スタイル・理解,録音の背景,,評価：その他,,,評価：感じられ方,録音の背景,,演奏：スタイル・理解,録音の背景,
281,2,録音の背景,,,録音の背景,,,録音の背景,,,録音の背景,,
281,3,楽曲,,,楽曲,,,楽曲,,,楽曲,演奏：スタイル・理解,
281,4,演奏：エネルギー,演奏：技術,評価：感じられ方,演奏：エネルギー,評価：感じられ方,,演奏：エネルギー,演奏：スタイル・理解,,演奏：エネルギー,評価：感じられ方,
281,5,演奏：キャラクター・音色,評価：その他,,演奏：キャラクター・音色,演奏：アーティキュレーション,演奏：コミュニケーション,演奏：キャラクター・音色,演奏：時間的特徴,評価：その他,演奏：キャラクター・音色,評価：その他,
287,1,演奏者,,,演奏者,,,演奏者,,,演奏者,,
287,2,演奏者,,,その他,,,演奏者,,,演奏者,,
287,3,楽曲,演奏：スタイル・理解,,楽曲,演奏者,,楽曲,演奏：感情,,楽曲,演奏：スタイル・理解,
287,4,演奏：キャラクター・音色,演奏：感情,,演奏：キャラクター・音色,,,演奏：キャラクター・音色,演奏：感情,演奏：コミュニケーション,演奏：キャラクター・音色,演奏：感情,
287,5,演奏：スタイル・理解,評価：その他,,評価：その他,,,評価：真正性,,,演奏：スタイル・理解,評価：その他,
292,1,演奏者,,,その他,,,演奏者,,,演奏者,,
292,2,演奏者,,,演奏者,,,演奏者,,,演奏者,,
292,3,演奏者,,,演奏者,,,演奏者,,,演奏者,,
292,4,演奏者,,,演奏者,,,演奏者,,,演奏者,,
292,5,演奏者,,,演奏者,,,演奏者,,,演奏者,,
292,6,演奏者,,,演奏者,,,演奏者,,,演奏者,,
292,7,録音の背景,,,録音の背景,,,録音の背景,,,録音の背景,,
292,8,演奏：キャラクター・音色,,,演奏：キャラクター・音色,,,演奏：キャラクター・音色,,,演奏：キャラクター・音色,,
292,9,演奏：技術,,,評価：その他,,,演奏：技術,,,評価：その他,,
292,10,評価：感じられ方,,,評価：感じられ方,,,評価：感じられ方,,,評価：感じられ方,,
305,1,録音の背景,,,録音の背景,,,録音の背景,,,その他,,
305,2,楽曲,,,楽曲,,,楽曲,,,楽曲,,
305,3,演奏：キャラクター・音色,演奏：時間的特徴,演奏：感情,演奏：キャラクター・音色,演奏：時間的特徴,,演奏：キャラクター・音色,演奏：時間的特徴,演奏：スタイル・理解,演奏：キャラクター・音色,演奏：時間的特徴,演奏：感情
305,4,演奏：構造,評価：感じられ方,,演奏：構造,評価：感じられ方,,演奏：構造,評価：感じられ方,,演奏：構造,評価：感じられ方,
305,5,演奏：スタイル・理解,評価：その他,,評価：その他,,,評価：感じられ方,,,演奏：スタイル・理解,評価：その他,
313,1,録音の背景,,,録音の背景,,,録音の背景,,,演奏者,録音の背景,
313,2,楽曲,,,楽曲,,,録音の背景,評価：感じられ方,,演奏：スタイル・理解,,
313,3,楽曲,録音の背景,,楽曲,,,楽曲,録音の背景,,楽曲,,
313,4,録音の背景,,,その他,,,録音の背景,,,演奏者,,
313,5,演奏：スタイル・理解,,,演奏：スタイル・理解,,,演奏：スタイル・理解,,,演奏：スタイル・理解,,
313,6,その他,,,その他,,,その他,,,その他,,
313,7,楽曲,演奏：感情,評価：感じられ方,楽曲,演奏：感情,評価：その他,楽曲,評価：感じられ方,,楽曲,演奏：感情,評価：その他
313,8,評価：その他,,,評価：その他,,,評価：その他,,,評価：その他,,
329,1,楽曲,演奏者,,楽曲,,,楽曲,,,楽曲,評価：その他,
329,2,録音の背景,,,録音の背景,,,録音の背景,,,演奏者,録音の背景,
